RegionName,Date,RentPrice
10002,2018-12-31,3278.6380137997407
10002,2019-01-31,3279.929587202011
10002,2019-02-28,3283.6406176543373
10002,2019-03-31,3281.704706439213
10002,2019-04-30,3321.045787663644
10002,2019-05-31,3353.6220333704946
10002,2019-06-30,3404.8121920297526
10002,2019-07-31,3430.7450685128033
10002,2019-08-31,3451.4843416868534
10002,2019-09-30,3456.626625738517
10002,2019-10-31,3447.202245377291
10002,2019-11-30,3402.63864235322
10002,2019-12-31,3405.9468596711945
10002,2020-01-31,3399.65006726096
10002,2020-02-29,3444.9540632772814
10002,2020-03-31,3439.638646227196
10002,2020-04-30,3411.9485869149908
10002,2020-05-31,3370.8433502371668
10002,2020-06-30,3303.210128980501
10002,2020-07-31,3247.541285233073
10002,2020-08-31,3123.86643202549
